年份,月份,新北市,台中市,高雄市,花蓮縣,雲林縣,桃園市,苗栗縣,澎湖縣,金門縣,連江縣,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2018,1,4721.2,12169.1,15364.7,1833.9,4908.0,9508.6,4281.2,165.1,115.6,49.5,					,,,,,,,
2018,2,4146.7,10478.6,13583.0,847.1,4055.1,7828.5,5058.1,151.8,106.2,45.5,					,,,,,,,
2018,3,3569.3,13195.6,14890.7,2748.6,3515.2,11460.2,5639.4,167.2,117.0,50.1,					,,,,,,,
2018,4,2282.1,13868.5,18296.8,3442.8,3334.2,10479.0,5767.6,169.3,118.5,50.8,					,,,,,,,
2018,5,4664.7,14913.0,19993.5,3560.6,4762.7,12426.1,4763.9,207.2,145.0,62.1,					,,,,,,,
2018,6,3394.8,14941.2,19503.3,3396.8,4903.1,12923.8,5111.2,206.1,144.3,61.8,					,,,,,,,
2018,7,3732.0,15955.1,20095.8,3678.6,5080.8,12257.7,5479.8,232.8,163.0,69.8,					,,,,,,,
2018,8,4632.1,15535.6,19239.9,3691.3,4674.7,12665.8,5845.4,230.7,161.5,69.2,					,,,,,,,
2018,9,4519.3,13418.3,18012.4,3300.7,4863.2,10267.5,5733.8,205.2,143.6,61.5,					,,,,,,,
2018,10,4204.7,13085.7,18172.7,3437.4,3476.1,9086.7,5777.4,174.6,122.2,52.4,					,,,,,,,
2018,11,4516.6,11895.6,20063.9,3457.2,1858.2,8718.0,5864.2,166.4,116.5,49.9,					,,,,,,,
2018,12,4638.3,11167.8,19955.5,3340.9,1753.7,7326.3,5350.4,168.1,117.7,50.4,					,,,,,,,
2017,1,4725.8,12180.9,15379.5,1835.7,4912.7,9517.8,4285.3,165.3,115.7,49.6,,,,,,,,					
2017,2,4150.7,10488.7,13596.1,847.9,4059.0,7836.1,5063.0,151.9,106.3,45.6,,,,,,,,					
2017,3,3572.7,13208.4,14905.1,2751.3,3518.6,11471.3,5644.9,167.3,117.1,50.2,,,,,,,,					
2017,4,2284.3,13881.9,18314.5,3446.1,3337.4,10489.1,5773.2,169.4,118.6,50.8,,,,,,,,					
2017,5,4669.2,14927.4,20012.8,3564.0,4767.3,12438.1,4768.5,207.4,145.1,62.2,,,,,,,,					
2017,6,3398.1,14955.6,19522.1,3400.1,4907.8,12936.3,5116.1,206.3,144.4,61.9,,,,,,,,					
2017,7,3735.6,15970.5,20115.2,3682.2,5085.7,12269.5,5485.1,233.0,163.1,69.9,,,,,,,,					
2017,8,4636.6,15550.6,19258.5,3694.9,4679.2,12678.0,5851.0,230.9,161.6,69.3,,,,,,,,					
2017,9,4523.7,13431.3,18029.8,3303.9,4867.9,10277.4,5739.3,205.3,143.7,61.6,,,,,,,,					
2017,10,4208.8,13098.3,18190.3,3440.7,3479.5,9095.5,5783.0,174.7,122.3,52.4,,,,,,,,					
2017,11,4521.0,11907.1,20083.3,3460.5,1860.0,8726.4,5869.9,166.6,116.6,50.0,,,,,,,,					
2017,12,4642.8,11178.6,19974.8,3344.1,1755.4,7333.4,5355.6,168.3,117.8,50.5,,,,,,,,					
2016,1,4406.3,11357.5,14340.0,1711.6,4580.7,8874.4,3995.7,154.1,107.9,46.2,,,,,,,,					
2016,2,3870.1,9779.8,12677.1,790.6,3784.7,7306.4,4720.8,141.6,99.1,42.5,,,,,,,,					
2016,3,3331.3,12315.6,13897.6,2565.3,3280.8,10695.9,5263.3,156.0,109.2,46.8,,,,,,,,					
2016,4,2129.9,12943.6,17076.5,3213.2,3111.8,9780.1,5382.9,158.0,110.6,47.4,,,,,,,,					
2016,5,4353.6,13918.4,18660.1,3323.1,4445.1,11597.4,4446.2,193.3,135.3,58.0,,,,,,,,					
2016,6,3168.4,13944.7,18202.6,3170.3,4576.1,12061.9,4770.3,192.4,134.6,57.7,,,,,,,,					
2016,7,3483.1,14891.0,18755.6,3433.3,4741.9,11440.2,5114.3,217.3,152.1,65.2,,,,,,,,					
2016,8,4323.2,14499.5,17956.7,3445.1,4362.9,11821.1,5455.6,215.3,150.7,64.6,,,,,,,,					
2016,9,4217.9,12523.4,16811.1,3080.6,4538.9,9582.7,5351.4,191.5,134.0,57.4,,,,,,,,					
2016,10,3924.3,12213.0,16960.7,3208.2,3244.3,8480.7,5392.1,162.9,114.0,48.9,,,,,,,,					
2016,11,4215.4,11102.3,18725.8,3226.6,1734.3,8136.6,5473.1,155.3,108.7,46.6,,,,,,,,					
2016,12,4329.0,10423.0,18624.6,3118.1,1636.7,6837.7,4993.6,156.9,109.8,47.1,,,,,,,,					
2015,1,4238.1,10923.9,13792.5,1646.2,4405.8,8535.6,3843.1,148.2,103.7,44.5,,,,,,,,					
2015,2,3722.4,9406.4,12193.1,760.4,3640.2,7027.4,4540.5,136.2,95.4,40.9,,,,,,,,					
2015,3,3204.1,11845.4,13367.0,2467.3,3155.5,10287.5,5062.3,150.0,105.0,45.0,,,,,,,,					
2015,4,2048.6,12449.4,16424.6,3090.5,2993.0,9406.7,5177.4,151.9,106.4,45.6,,,,,,,,					
2015,5,4187.4,13387.0,17947.7,3196.3,4275.4,11154.6,4276.4,186.0,130.2,55.8,,,,,,,,					
2015,6,3047.4,13412.3,17507.6,3049.2,4401.4,11601.4,4588.2,185.0,129.5,55.5,,,,,,,,					
2015,7,3350.1,14322.5,18039.5,3302.2,4560.9,11003.4,4919.1,209.0,146.3,62.7,,,,,,,,					
2015,8,4158.1,13945.9,17271.2,3313.6,4196.4,11369.8,5247.3,207.0,144.9,62.1,,,,,,,,					
2015,9,4056.9,12045.3,16169.3,2963.0,4365.6,9216.9,5147.1,184.2,128.9,55.2,,,,,,,,					
2015,10,3774.5,11746.7,16313.2,3085.7,3120.4,8156.9,5186.2,156.7,109.7,47.0,,,,,,,,					
2015,11,4054.4,10678.4,18010.9,3103.4,1668.1,7825.9,5264.1,149.4,104.6,44.8,,,,,,,,					
2015,12,4163.7,10025.1,17913.6,2999.0,1574.3,6576.6,4802.9,150.9,105.6,45.3,,,,,,,,					
2014,1,4164.3,10733.5,13552.2,1617.6,4329.0,8386.9,3776.2,145.6,101.9,43.7,,,,,,,,					
2014,2,3657.5,9242.5,11980.7,747.2,3576.7,6905.0,4461.4,133.8,93.7,40.2,,,,,,,,					
2014,3,3148.2,11639.0,13134.1,2424.4,3100.5,10108.3,4974.1,147.4,103.2,44.2,,,,,,,,					
2014,4,2012.9,12232.5,16138.4,3036.7,2940.9,9242.8,5087.2,149.3,104.5,44.8,,,,,,,,					
2014,5,4114.4,13153.8,17634.9,3140.6,4200.9,10960.2,4201.9,182.7,127.9,54.8,,,,,,,,					
2014,6,2994.3,13178.6,17202.6,2996.1,4324.7,11399.2,4508.2,181.8,127.3,54.5,,,,,,,,					
2014,7,3291.7,14072.9,17725.2,3244.6,4481.4,10811.7,4833.4,205.3,143.7,61.6,,,,,,,,					
2014,8,4085.7,13702.9,16970.2,3255.8,4123.2,11171.7,5155.8,203.4,142.4,61.0,,,,,,,,					
2014,9,3986.2,11835.4,15887.5,2911.3,4289.5,9056.3,5057.4,180.9,126.7,54.3,,,,,,,,					
2014,10,3708.7,11542.0,16028.9,3031.9,3066.0,8014.8,5095.9,154.0,107.8,46.2,,,,,,,,					
2014,11,3983.8,10492.3,17697.0,3049.4,1639.0,7689.6,5172.4,146.8,102.7,44.0,,,,,,,,					
2014,12,4091.1,9850.4,17601.4,2946.8,1546.8,6462.0,4719.2,148.3,103.8,44.5,,,,,,,,					
2013,1,4004.1,10320.8,13031.0,1555.4,4162.5,8064.4,3630.9,140.0,98.0,42.0,,,,,,,,					
2013,2,3516.9,8887.1,11519.9,718.4,3439.2,6639.5,4289.8,128.7,90.1,38.6,,,,,,,,					
2013,3,3027.2,11191.4,12629.0,2331.1,2981.3,9719.6,4782.9,141.8,99.2,42.5,,,,,,,,					
2013,4,1935.5,11762.1,15517.8,2919.9,2827.8,8887.4,4891.6,143.5,100.5,43.1,,,,,,,,					
2013,5,3956.2,12647.9,16956.8,3019.8,4039.3,10538.8,4040.3,175.7,123.0,52.7,,,,,,,,					
2013,6,2879.2,12671.8,16541.0,2880.9,4158.4,10960.9,4334.9,174.8,122.4,52.4,,,,,,,,					
2013,7,3165.2,13531.8,17043.5,3119.9,4309.1,10395.9,4647.5,197.4,138.2,59.2,,,,,,,,					
2013,8,3928.6,13176.0,16317.6,3130.6,3964.7,10742.0,4957.6,195.6,136.9,58.7,,,,,,,,					
2013,9,3832.9,11380.3,15276.6,2799.4,4124.6,8708.0,4862.9,174.0,121.8,52.2,,,,,,,,					
2013,10,3566.1,11098.2,15412.5,2915.3,2948.1,7706.6,4899.9,148.0,103.6,44.4,,,,,,,,					
2013,11,3830.6,10088.8,17016.5,2932.1,1576.0,7393.9,4973.5,141.1,98.8,42.3,,,,,,,,					
2013,12,3933.8,9471.6,16924.5,2833.5,1487.3,6213.5,4537.8,142.6,99.8,42.8,,,,,,,,					
2012,1,3997.5,10303.8,13009.6,1552.8,4155.7,8051.1,3625.0,139.8,97.9,41.9,,,,,,,,					
2012,2,3511.1,8872.5,11501.0,717.3,3433.5,6628.6,4282.8,128.5,89.9,38.5,,,,,,,,					
2012,3,3022.2,11173.0,12608.3,2327.3,2976.4,9703.6,4775.0,141.5,99.1,42.5,,,,,,,,					
2012,4,1932.3,11742.8,15492.3,2915.1,2823.1,8872.8,4883.6,143.3,100.3,43.0,,,,,,,,					
2012,5,3949.7,12627.2,16928.9,3014.8,4032.7,10521.5,4033.7,175.4,122.8,52.6,,,,,,,,					
2012,6,2874.5,12651.0,16513.9,2876.1,4151.6,10942.9,4327.8,174.5,122.2,52.4,,,,,,,,					
2012,7,3160.0,13509.5,17015.6,3114.8,4302.0,10378.9,4639.9,197.1,138.0,59.1,,,,,,,,					
2012,8,3922.1,13154.3,16290.9,3125.5,3958.2,10724.4,4949.4,195.3,136.7,58.6,,,,,,,,					
2012,9,3826.6,11361.6,15251.5,2794.8,4117.8,8693.7,4854.9,173.7,121.6,52.1,,,,,,,,					
2012,10,3560.2,11080.0,15387.2,2910.5,2943.3,7693.9,4891.9,147.8,103.5,44.3,,,,,,,,					
2012,11,3824.3,10072.3,16988.6,2927.3,1573.4,7381.7,4965.3,140.9,98.6,42.3,,,,,,,,					
2012,12,3927.4,9456.0,16896.8,2828.8,1484.9,6203.3,4530.3,142.3,99.6,42.7,,,,,,,,					
2011,1,4034.6,10399.2,13130.1,1567.2,4194.2,8125.7,3658.5,141.1,98.8,42.3,,,,,,,,					
2011,2,3543.6,8954.6,11607.5,723.9,3465.3,6689.9,4322.5,129.7,90.8,38.9,,,,,,,,					
2011,3,3050.2,11276.4,12725.0,2348.8,3004.0,9793.4,4819.2,142.8,100.0,42.9,,,,,,,,					
2011,4,1950.2,11851.5,15635.7,2942.1,2849.3,8954.9,4928.8,144.6,101.2,43.4,,,,,,,,					
2011,5,3986.3,12744.1,17085.7,3042.7,4070.0,10618.9,4071.0,177.0,123.9,53.1,,,,,,,,					
2011,6,2901.1,12768.2,16666.8,2902.8,4190.0,11044.2,4367.8,176.1,123.3,52.8,,,,,,,,					
2011,7,3189.2,13634.6,17173.1,3143.6,4341.9,10474.9,4682.8,198.9,139.3,59.7,,,,,,,,					
2011,8,3958.4,13276.1,16441.7,3154.4,3994.8,10823.7,4995.2,197.1,138.0,59.1,,,,,,,,					
2011,9,3862.0,11466.8,15392.7,2820.6,4155.9,8774.2,4899.9,175.3,122.7,52.6,,,,,,,,					
2011,10,3593.2,11182.5,15529.7,2937.5,2970.5,7765.1,4937.1,149.2,104.4,44.7,,,,,,,,					
2011,11,3859.7,10165.5,17145.8,2954.4,1587.9,7450.1,5011.3,142.2,99.5,42.7,,,,,,,,					
2011,12,3963.7,9543.6,17053.2,2855.0,1498.6,6260.8,4572.2,143.7,100.6,43.1,,,,,,,,					
2010,1,3944.3,10166.7,12836.5,1532.1,4100.4,7944.0,3576.7,137.9,96.6,41.4,,,,,,,,					
2010,2,3464.4,8754.4,11348.0,707.7,3387.8,6540.3,4225.8,126.8,88.7,38.0,,,,,,,,					
2010,3,2982.0,11024.3,12440.5,2296.3,2936.8,9574.5,4711.5,139.6,97.8,41.9,,,,,,,,					
2010,4,1906.6,11586.5,15286.1,2876.3,2785.6,8754.7,4818.6,141.4,99.0,42.4,,,,,,,,					
2010,5,3897.1,12459.1,16703.6,2974.7,3979.0,10381.4,3980.0,173.1,121.1,51.9,,,,,,,,					
2010,6,2836.2,12482.7,16294.1,2837.9,4096.3,10797.2,4270.2,172.2,120.5,51.7,,,,,,,,					
2010,7,3117.9,13329.7,16789.1,3073.3,4244.8,10240.7,4578.1,194.5,136.1,58.3,,,,,,,,					
2010,8,3869.9,12979.3,16074.0,3083.9,3905.5,10581.7,4883.6,192.7,134.9,57.8,,,,,,,,					
2010,9,3775.7,11210.4,15048.5,2757.6,4063.0,8578.0,4790.3,171.4,120.0,51.4,,,,,,,,					
2010,10,3512.8,10932.5,15182.4,2871.8,2904.1,7591.5,4826.7,145.8,102.1,43.7,,,,,,,,					
2010,11,3773.4,9938.2,16762.4,2888.3,1552.4,7283.5,4899.3,139.0,97.3,41.7,,,,,,,,					
2010,12,3875.1,9330.2,16671.9,2791.2,1465.1,6120.8,4470.0,140.4,98.3,42.1,,,,,,,,					
